iter	Logloss
0	0.6918472111
1	0.690201687
2	0.6892093234
3	0.6880075928
4	0.6869960592
5	0.6860449381
6	0.685295323
7	0.6848750382
8	0.6842539258
9	0.6837245094
10	0.6829897175
11	0.6823558743
12	0.6819282094
13	0.6814900431
14	0.6807680153
15	0.6800847015
16	0.6792540844
17	0.6786505269
18	0.6781532844
19	0.6779406174
20	0.6775822115
21	0.6769847932
22	0.6767451053
23	0.6763756871
24	0.6762064751
25	0.6758752296
26	0.6754698632
27	0.6752395353
28	0.6746658836
29	0.6742871847
30	0.6739027736
31	0.6734007954
32	0.6730640274
33	0.6726214485
34	0.6723745532
35	0.6721717354
36	0.671922613
37	0.6714695263
38	0.6710822359
39	0.6708025563
40	0.6703373573
41	0.6701435047
42	0.6699290669
43	0.6696609378
44	0.6693096397
45	0.6689065662
46	0.6683750674
47	0.6680962589
48	0.6678762462
49	0.6676831554
50	0.6672022595
51	0.6668483038
52	0.6666421791
53	0.6664918927
54	0.6663168901
55	0.6659750443
56	0.6656657303
57	0.6653557566
58	0.6650491718
59	0.6645879824
60	0.6641882298
61	0.663785744
62	0.6634168253
63	0.6630332849
64	0.662809405
65	0.6624087897
66	0.6620977654
67	0.6619489548
68	0.6617883919
69	0.6615519264
70	0.6612630133
71	0.6608815822
72	0.6606151743
73	0.6603443234
74	0.6600524999
75	0.6597293114
76	0.6595301976
77	0.6592538135
78	0.659109142
79	0.6589450566
80	0.6588190267
81	0.6585961747
82	0.658333969
83	0.6581235371
84	0.6579716874
85	0.6577664864
86	0.6576397404
87	0.6574195511
88	0.657312199
89	0.6571074828
90	0.656886656
91	0.6565607064
92	0.6563725961
93	0.6562204
94	0.6559259424
95	0.6554946501
96	0.655309229
97	0.6550422132
98	0.6547702663
99	0.654495369
