iter	Passed	Remaining
0	1	156
1	3	176
2	5	175
3	6	167
4	8	162
5	10	158
6	11	154
7	13	150
8	14	146
9	15	143
10	17	140
11	18	138
12	20	135
13	21	131
14	23	130
15	24	129
16	26	127
17	27	125
18	29	124
19	30	122
20	32	121
21	33	119
22	35	117
23	36	115
24	37	113
25	39	112
26	40	110
27	42	108
28	43	107
29	45	105
30	46	104
31	48	102
32	49	101
33	51	99
34	52	97
35	53	95
36	55	94
37	57	93
38	58	91
39	60	90
40	61	88
41	63	87
42	64	85
43	65	83
44	67	82
45	69	81
46	70	79
47	72	78
48	73	76
49	75	75
50	76	73
51	78	72
52	79	70
53	81	69
54	82	67
55	84	66
56	86	65
57	88	63
58	90	62
59	92	61
60	93	60
61	95	58
62	97	57
63	99	56
64	101	54
65	104	53
66	106	52
67	108	50
68	110	49
69	111	47
70	113	46
71	115	44
72	117	43
73	119	42
74	121	40
75	123	39
76	125	37
77	127	36
78	130	34
79	132	33
80	134	31
81	136	29
82	138	28
83	140	26
84	142	25
85	143	23
86	145	21
87	148	20
88	150	18
89	152	16
90	154	15
91	156	13
92	158	11
93	160	10
94	163	8
95	165	6
96	166	5
97	168	3
98	170	1
99	172	0
